tucaseid,tuactivity_n,eueatsum,euedur,euedur24
20140101140007,1,-1,-1,-1
20140101140007,2,-1,-1,-1
20140101140007,3,-1,-1,-1
20140101140007,4,-1,-1,-1
20140101140007,5,-1,-1,-1
20140101140007,6,-1,-1,-1
20140101140007,7,1,2,2
20140101140007,8,-1,-1,-1
20140101140007,9,-1,-1,-1
20140101140007,10,-1,-1,-1
20140101140011,1,-1,-1,-1
20140101140011,2,-1,-1,-1
20140101140011,3,-1,-1,-1
20140101140011,4,-1,-1,-1
20140101140011,5,-1,-1,-1
20140101140011,6,1,3,3
20140101140011,7,1,3,3
20140101140011,8,-1,-1,-1
20140101140011,9,-1,-1,-1
20140101140011,10,-1,-1,-1
20140101140011,11,1,8,8
20140101140011,12,-1,-1,-1
20140101140011,13,-1,-1,-1
20140101140011,14,-1,-1,-1
20140101140011,15,-1,-1,-1
20140101140011,16,-1,-1,-1
20140101140011,17,-1,-1,-1
20140101140011,18,-1,-1,-1
20140101140559,1,-1,-1,-1
20140101140559,2,-1,-1,-1
20140101140559,3,-1,-1,-1
20140101140559,4,-1,-1,-1
20140101140559,5,-1,-1,-1
20140101140559,6,-1,-1,-1
20140101140559,7,-1,-1,-1
20140101140559,8,1,5,5
20140101140559,9,-1,-1,-1
20140101140559,10,1,5,5
20140101140559,11,-1,-1,-1
20140101140559,12,-1,-1,-1
20140101140559,13,-1,-1,-1
20140101140610,1,-1,-1,-1
20140101140610,2,-1,-1,-1
20140101140610,3,-1,-1,-1
20140101140610,4,-1,-1,-1
20140101140610,5,-1,-1,-1
20140101140610,6,-1,-1,-1
20140101140610,7,-1,-1,-1
20140101140610,8,-1,-1,-1
20140101140610,9,1,5,5
20140101140610,10,-1,-1,-1
20140101140610,11,-1,-1,-1
20140101140610,12,-1,-1,-1
20140101140610,13,-1,-1,-1
20140101140610,14,-1,-1,-1
20140101140610,15,-1,-1,-1
20140101140610,16,-1,-1,-1
20140101140610,17,-1,-1,-1
20140101140610,18,-1,-1,-1
20140101140610,19,-1,-1,-1
20140101140610,20,-1,-1,-1
20140101140610,21,-1,-1,-1
20140101140614,1,-1,-1,-1
20140101140614,2,-1,-1,-1
20140101140614,3,-1,-1,-1
20140101140614,4,-1,-1,-1
20140101140614,5,-1,-1,-1
20140101140614,6,-1,-1,-1
20140101140614,7,-1,-1,-1
20140101140614,8,-1,-1,-1
